OBJECTID,Type,Provider,Latitude,Longitude,X,Y,Location_T,City,Borough Name
1620,Limited Free,ALTICEUSA,40.694769,-73.91851,1006847.384,192410.0417,Outdoor,Brooklyn,Brooklyn
1621,Limited Free,ALTICEUSA,40.68992,-73.94647,999095.0861,190637.4334,Indoor,Brooklyn,Brooklyn
1622,Limited Free,ALTICEUSA,40.824255,-73.89791,1012504.833,239591.9917,Outdoor,Bronx,Bronx
2188,Free,Transit Wireless,40.807745,-73.945502,999336.8274,233565.0342,Subway Station,New York,Manhattan
2189,Free,Transit Wireless,40.804138,-73.937594,1001526.956,232252.3377,Subway Station,New York,Manhattan
2190,Free,Transit Wireless,40.811109,-73.952343,997442.3483,234789.5544,Subway Station,New York,Manhattan
2191,Free,Transit Wireless,40.814229,-73.94077,1000645.202,235928.2362,Subway Station,New York,Manhattan
2192,Free,Transit Wireless,40.817894,-73.947649,998740.2578,237262.3142,Subway Station,New York,Manhattan
2193,Free,Transit Wireless,40.822008,-73.953676,997071.2493,238760.2532,Subway Station,New York,Manhattan
2194,Free,Transit Wireless,40.779492,-73.955589,996549.6352,223269.9134,Subway Station,New York,Manhattan
2195,Free,Transit Wireless,40.826551,-73.95036,997988.0916,240415.9359,Subway Station,New York,Manhattan
2196,Free,Transit Wireless,40.820421,-73.936245,1001896.106,238185.0831,Subway Station,New York,Manhattan
2197,Free,Transit Wireless,40.824783,-73.944216,999688.8812,239772.8125,Subway Station,New York,Manhattan
2198,Free,Transit Wireless,40.830135,-73.938209,1001350.013,241723.8572,Subway Station,New York,Manhattan
2199,Free,Transit Wireless,40.830518,-73.941514,1000435.296,241862.7703,Subway Station,New York,Manhattan
2200,Free,Transit Wireless,40.834041,-73.94489,999500.2215,243145.7231,Subway Station,New York,Manhattan
2201,Free,Transit Wireless,40.710688,-74.011029,981192.3601,198199.4905,Subway Station,New York,Manhattan
2202,Free,Transit Wireless,40.836013,-73.939892,1000882.792,243865.1052,Subway Station,New York,Manhattan
2203,Free,Transit Wireless,40.847391,-73.939704,1000931.96,248010.5716,Subway Station,New York,Manhattan
2204,Free,Transit Wireless,40.851695,-73.937969,1001410.869,249579.017,Subway Station,New York,Manhattan
2205,Free,Transit Wireless,40.855225,-73.929412,1003777.125,250866.9225,Subway Station,New York,Manhattan
2206,Free,Transit Wireless,40.768141,-73.96387,994257.9163,219133.3098,Subway Station,New York,Manhattan
2207,Free,Transit Wireless,40.77362,-73.959874,995363.8836,221129.9738,Subway Station,New York,Manhattan
2208,Free,Transit Wireless,40.785672,-73.95107,997799.9151,225522.1638,Subway Station,New York,Manhattan
2209,Free,Transit Wireless,40.807566,-73.91924,1006607.066,233505.431,Subway Station,Bronx,Bronx
2210,Free,Transit Wireless,40.803967,-73.966847,993428.355,232185.619,Subway Station,New York,Manhattan
2211,Free,Transit Wireless,40.800605,-73.958159,995834.1989,230961.7543,Subway Station,New York,Manhattan
2212,Free,Transit Wireless,40.799075,-73.951822,997588.9822,230405.2233,Subway Station,New York,Manhattan
2213,Free,Transit Wireless,40.805368,-73.914042,1008046.831,232705.9917,Subway Station,Bronx,Bronx
2214,Free,Transit Wireless,40.718611,-73.988114,987544.8399,201086.1113,Subway Station,New York,Manhattan
2215,Free,Transit Wireless,40.718315,-73.987437,987732.5219,200978.2959,Subway Station,New York,Manhattan
2216,Free,Transit Wireless,40.865491,-73.927271,1004366.295,254607.7064,Subway Station,New York,Manhattan
2217,Free,Transit Wireless,40.808719,-73.907657,1009813.183,233928.6779,Subway Station,Bronx,Bronx
2218,Free,Transit Wireless,40.812118,-73.904098,1010797.06,235168.1124,Subway Station,Bronx,Bronx
2219,Free,Transit Wireless,40.713715,-73.990173,986974.278,199302.2786,Subway Station,New York,Manhattan
2220,Free,Transit Wireless,40.7596,-73.83003,1031337.259,216065.1614,Subway Station,Queens,Queens
2221,Free,Transit Wireless,40.710374,-74.007582,982147.9839,198084.9891,Subway Station,New York,Manhattan
2222,Free,Transit Wireless,40.709416,-74.006571,982428.2451,197735.9382,Subway Station,New York,Manhattan
2223,Free,Transit Wireless,40.710368,-74.009509,981613.7467,198082.8552,Subway Station,New York,Manhattan
2224,Free,Transit Wireless,40.71417,-73.999153,984484.8069,199467.8974,Subway Station,New York,Manhattan
2225,Free,Transit Wireless,40.710197,-74.007691,982117.7592,198020.5053,Subway Station,New York,Manhattan
2226,Free,Transit Wireless,40.82388,-73.93647,1001832.916,239445.2767,Subway Station,New York,Manhattan
2227,Free,Transit Wireless,40.868072,-73.919899,1006404.474,255549.8439,Subway Station,New York,Manhattan
2228,Free,Transit Wireless,40.702566,-73.816859,1035029.497,195293.2919,Subway Station,Queens,Queens
2229,Free,Transit Wireless,40.816104,-73.896435,1012916.571,236622.7689,Subway Station,Bronx,Bronx
2230,Free,Transit Wireless,40.723402,-73.989938,987039.0203,202831.5567,Subway Station,New York,Manhattan
2231,Free,Transit Wireless,40.874811,-73.878855,1017753.094,258018.1648,Subway Station,Bronx,Bronx
2232,Free,Transit Wireless,40.873244,-73.887138,1015463.137,257444.1856,Subway Station,Bronx,Bronx
2233,Free,Transit Wireless,40.866978,-73.893509,1013703.948,255159.0311,Subway Station,Bronx,Bronx
2234,Free,Transit Wireless,40.839306,-73.9134,1008212.34,245071.0056,Subway Station,Bronx,Bronx
2235,Free,Transit Wireless,40.820948,-73.890549,1014543.597,238389.5925,Subway Station,Bronx,Bronx
2236,Free,Transit Wireless,40.76266,-73.967258,993320.1958,217136.0317,Subway Station,New York,Manhattan
2237,Free,Transit Wireless,40.85041,-73.905227,1010469.442,249118.9503,Subway Station,Bronx,Bronx
2238,Free,Transit Wireless,40.8459,-73.910136,1009113.028,247474.3558,Subway Station,Bronx,Bronx
2239,Free,Transit Wireless,40.827905,-73.925651,1004825.998,240914.0871,Subway Station,Bronx,Bronx
2240,Free,Transit Wireless,40.757552,-73.969055,992823.0478,215274.8392,Subway Station,New York,Manhattan
2241,Free,Transit Wireless,40.762526,-73.967967,993123.8061,217087.1387,Subway Station,New York,Manhattan
2242,Free,Transit Wireless,40.757107,-73.97192,992029.3762,215112.4438,Subway Station,New York,Manhattan
2243,Free,Transit Wireless,40.861296,-73.897749,1012533.639,253087.4614,Subway Station,Bronx,Bronx
2244,Free,Transit Wireless,40.856093,-73.900741,1011708.171,251190.8572,Subway Station,Bronx,Bronx
2245,Free,Transit Wireless,40.717304,-73.956872,996205.4633,200612.651,Subway Station,Brooklyn,Brooklyn
